UserID,UserName,Age,Gender,Email,TotalCourses,TotalSpending,AvgCourseRating,AvgCoursePrice,PreferredCategory,PreferredLevel,Cluster,ClusterName
U00001,wilsonjordan,15,1,patricia27@hotmail.com,1,394.26,1.35,394.26,2,2,2,Premium Learners
U00002,angela22,29,0,hallrandy@hotmail.com,1,0.0,2.88,0.0,9,1,0,Budget Learners
U00003,morrisonamanda,33,0,ganderson@yahoo.com,11,613.98,2.889090909090909,55.81636363636364,8,0,3,Casual Learners
U00004,fthornton,23,0,christensencatherine@outlook.com,13,982.05,3.4515384615384614,75.54230769230769,5,2,3,Casual Learners
U00005,fostergeoffrey,21,1,karenfuentes@yahoo.com,2,346.71,2.0549999999999997,173.355,9,0,1,Professional Learners
U00006,jacksonjose,21,1,wilsonnatalie@outlook.com,1,0.78,3.89,0.78,7,0,1,Professional Learners
U00007,grodriguez,24,1,lopezjoseph@gmail.com,1,0.0,1.91,0.0,2,2,1,Professional Learners
U00008,adkinsapril,33,0,sanfordtaylor@gmail.com,1,0.0,4.1,0.0,6,2,0,Budget Learners
U00009,heathercallahan,20,0,chelseastephenson@outlook.com,1,276.37,2.72,276.37,4,0,2,Premium Learners
U00010,qlam,34,0,brian31@outlook.com,2,326.02,3.165,163.01,0,1,0,Budget Learners
U00011,ashley16,15,0,guzmanantonio@outlook.com,2,299.57,3.205,149.785,3,0,0,Budget Learners
U00012,mirandatimothy,15,0,paula93@outlook.com,2,327.99,1.5150000000000001,163.995,4,0,0,Budget Learners
U00013,cherrykathleen,33,0,michelewatkins@outlook.com,14,1432.33,2.869285714285714,102.3092857142857,7,0,3,Casual Learners
U00014,huertatimothy,30,1,gabrielanderson@yahoo.com,1,0.0,1.81,0.0,7,0,1,Professional Learners
U00015,tbaker,27,0,kelly33@yahoo.com,14,2035.06,2.7607142857142857,145.36142857142858,0,1,3,Casual Learners
U00016,josephmullins,32,1,amysparks@outlook.com,1,0.0,4.79,0.0,8,0,1,Professional Learners
U00017,theresa55,24,1,pachecojeremy@gmail.com,3,963.18,4.6499999999999995,321.06,0,1,2,Premium Learners
U00018,nicole97,24,0,aprilharrell@hotmail.com,16,1468.03,3.1081250000000002,91.751875,0,1,3,Casual Learners
U00019,rlawson,24,0,kingjulia@gmail.com,1,0.0,4.51,0.0,4,1,0,Budget Learners
U00020,evansmichael,27,0,eharris@hotmail.com,1,0.0,2.88,0.0,9,1,0,Budget Learners
U00021,autumn63,15,1,julieestrada@hotmail.com,2,177.34,3.135,88.67,2,0,1,Professional Learners
