UserID,UserName,Age,Gender,Email,TotalCourses,TotalSpending,AvgCourseRating,AvgCoursePrice,PreferredCategory,PreferredLevel
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,1,394.26,1.35,394.26,Cybersecurity,Intermediate
U00002,angela22,29,Female,hallrandy@hotmail.com,1,0.0,2.88,0.0,Programming,Beginner
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,11,613.98,2.889090909090909,55.81636363636364,Marketing,Advanced
U00004,fthornton,23,Female,christensencatherine@outlook.com,13,982.05,3.4515384615384614,75.54230769230769,Digital Marketing,Intermediate
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,2,346.71,2.0549999999999997,173.355,Programming,Advanced
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,1,0.78,3.89,0.78,Machine Learning,Advanced
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,1,0.0,1.91,0.0,Cybersecurity,Intermediate
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,1,0.0,4.1,0.0,Finance,Intermediate
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,1,276.37,2.72,276.37,Design,Advanced
U00010,qlam,34,Female,brian31@outlook.com,2,326.02,3.165,163.01,Artificial Intelligence,Beginner
U00011,ashley16,15,Female,guzmanantonio@outlook.com,2,299.57,3.205,149.785,Data Science,Advanced
U00012,mirandatimothy,15,Female,paula93@outlook.com,2,327.99,1.5150000000000001,163.995,Design,Advanced
U00013,cherrykathleen,33,Female,michelewatkins@outlook.com,14,1432.33,2.869285714285714,102.3092857142857,Machine Learning,Advanced
U00014,huertatimothy,30,Male,gabrielanderson@yahoo.com,1,0.0,1.81,0.0,Machine Learning,Advanced
U00015,tbaker,27,Female,kelly33@yahoo.com,14,2035.06,2.7607142857142857,145.36142857142858,Artificial Intelligence,Beginner
U00016,josephmullins,32,Male,amysparks@outlook.com,1,0.0,4.79,0.0,Marketing,Advanced
U00017,theresa55,24,Male,pachecojeremy@gmail.com,3,963.18,4.6499999999999995,321.06,Artificial Intelligence,Beginner
U00018,nicole97,24,Female,aprilharrell@hotmail.com,16,1468.03,3.1081250000000002,91.751875,Artificial Intelligence,Beginner
U00019,rlawson,24,Female,kingjulia@gmail.com,1,0.0,4.51,0.0,Design,Beginner
U00020,evansmichael,27,Female,eharris@hotmail.com,1,0.0,2.88,0.0,Programming,Beginner
U00021,autumn63,15,Male,julieestrada@hotmail.com,2,177.34,3.135,88.67,Cybersecurity,Advanced
U00022,patriciaadkins,31,Male,thomas63@hotmail.com,1,0.0,4.68,0.0,Project Management,Beginner
U00023,micheal78,32,Male,ashleymorris@yahoo.com,1,0.0,4.51,0.0,Design,Beginner
U00024,steven43,18,Female,petersonlori@yahoo.com,1,0.0,3.93,0.0,Cybersecurity,Intermediate
U00025,georgewhite,34,Male,jamesbradshaw@hotmail.com,4,119.04,2.605,29.76,Finance,Advanced
U00026,andrew02,19,Male,jason57@yahoo.com,1,327.99,1.51,327.99,Project Management,Beginner
U00027,hunter32,31,Male,ronaldthomas@yahoo.com,2,0.0,2.915,0.0,Cybersecurity,Advanced
U00028,zgomez,30,Female,rwhitaker@outlook.com,12,1012.66,3.015,84.38833333333334,Finance,Beginner
U00029,hartmanjon,30,Male,nicole88@gmail.com,1,326.02,2.69,326.02,Business,Intermediate
U00030,david76,34,Male,robert64@outlook.com,1,0.0,3.45,0.0,Project Management,Intermediate
U00031,lovedavid,30,Male,fbooth@yahoo.com,1,0.0,2.2,0.0,Web Development,Beginner
U00032,veronica83,18,Male,andrea24@yahoo.com,1,285.05,1.96,285.05,Business,Beginner
U00033,rodrigueznatalie,25,Male,linda50@gmail.com,1,276.37,2.72,276.37,Design,Advanced
U00034,ilopez,32,Female,scottwatts@yahoo.com,2,248.1,2.67,124.05,Artificial Intelligence,Beginner
U00035,chernandez,32,Male,bryangilbert@yahoo.com,1,0.78,3.89,0.78,Machine Learning,Advanced
U00036,coxmichael,24,Female,leonardkimberly@hotmail.com,1,0.0,3.85,0.0,Programming,Beginner
U00037,lisabraun,31,Female,ericbrown@hotmail.com,2,0.0,1.9849999999999999,0.0,Cybersecurity,Advanced
U00038,williamselizabeth,35,Male,kpham@gmail.com,1,0.0,3.93,0.0,Cybersecurity,Intermediate
U00039,blackdanielle,16,Female,michaelfrederick@yahoo.com,1,346.71,1.23,346.71,Project Management,Advanced
U00040,briannamurphy,15,Male,ohobbs@gmail.com,1,0.0,3.85,0.0,Programming,Beginner
U00041,april65,19,Female,imccarthy@yahoo.com,2,326.02,3.5650000000000004,163.01,Business,Beginner
U00042,christopher62,32,Male,patrickterrance@outlook.com,1,89.59,2.68,89.59,Artificial Intelligence,Intermediate
U00043,tommy21,31,Male,gordonhenry@hotmail.com,1,327.99,1.51,327.99,Project Management,Beginner
U00044,rileyapril,19,Male,wagnermichael@hotmail.com,1,299.57,3.74,299.57,Data Science,Beginner
U00045,rodneystevens,23,Female,mitchellwilliam@yahoo.com,14,1209.79,3.375,86.41357142857143,Project Management,Beginner
U00046,usimpson,29,Female,hmarquez@hotmail.com,2,0.0,1.325,0.0,Design,Advanced
U00047,westbrian,34,Male,lclark@outlook.com,1,0.0,3.6,0.0,Data Science,Intermediate
U00048,willie71,19,Male,zgarza@hotmail.com,13,356.89,3.329230769230769,27.45307692307692,Design,Beginner
U00049,nclark,32,Male,thomaskenneth@gmail.com,1,0.0,3.45,0.0,Project Management,Intermediate
U00050,rewing,33,Male,syoung@gmail.com,1,0.0,2.61,0.0,Design,Advanced
U00051,crystal12,32,Female,bonnie35@gmail.com,1,0.0,4.51,0.0,Design,Beginner
U00052,daniel48,25,Female,tweber@gmail.com,1,0.78,3.89,0.78,Machine Learning,Advanced
U00053,tara07,34,Female,bergertimothy@hotmail.com,1,53.86,2.47,53.86,Finance,Beginner
U00054,jessicaparker,22,Female,rosslindsey@hotmail.com,1,490.9,4.55,490.9,Artificial Intelligence,Beginner
U00055,hallandrea,31,Female,michelle73@gmail.com,16,1448.25,3.055625,90.515625,Design,Advanced
U00056,vcrawford,22,Female,markfinley@gmail.com,2,0.0,2.745,0.0,Design,Advanced
U00057,thomasrobin,18,Male,cedwards@yahoo.com,1,487.92,3.64,487.92,Business,Advanced
U00058,egomez,30,Female,jimmymurphy@outlook.com,1,117.68,2.57,117.68,Data Science,Advanced
U00059,elizabeth16,32,Male,andersonmadison@gmail.com,1,0.0,4.51,0.0,Design,Beginner
U00060,albert28,26,Male,stephanie43@yahoo.com,4,53.86,3.515,13.465,Finance,Beginner
U00061,vincent12,32,Female,yscott@outlook.com,1,0.0,1.91,0.0,Cybersecurity,Intermediate
U00062,howenathaniel,28,Female,tbrown@yahoo.com,1,0.0,3.85,0.0,Programming,Beginner
U00063,lisawong,34,Female,denise33@outlook.com,2,299.57,3.31,149.785,Data Science,Beginner
U00064,donnabarker,33,Female,gellis@yahoo.com,1,276.37,2.72,276.37,Design,Advanced
U00065,michaelcurtis,29,Male,brownrobert@hotmail.com,1,0.0,2.67,0.0,Web Development,Advanced
U00066,wwest,26,Female,gomezkatherine@gmail.com,1,327.99,1.51,327.99,Project Management,Beginner
U00067,jessica24,28,Female,gardnerjohnny@hotmail.com,1,119.04,2.75,119.04,Finance,Intermediate
U00068,marshmichelle,32,Male,mcoleman@outlook.com,1,0.0,3.45,0.0,Project Management,Intermediate
U00069,gainesandrew,27,Female,woodashley@outlook.com,2,0.0,3.67,0.0,Design,Advanced
U00070,mgonzales,25,Female,vwang@gmail.com,2,0.0,4.6899999999999995,0.0,Digital Marketing,Intermediate
U00071,kevin94,30,Female,gonzalezchristine@hotmail.com,14,641.94,2.777857142857143,45.85285714285715,Programming,Beginner
U00072,hallanthony,17,Female,sharon51@hotmail.com,1,326.02,2.69,326.02,Business,Intermediate
U00073,katie83,16,Male,lydia56@gmail.com,1,0.78,3.89,0.78,Machine Learning,Advanced
U00074,nunezapril,19,Male,hancocksteven@hotmail.com,3,963.18,3.5233333333333334,321.06,Programming,Beginner
U00075,hfarley,22,Male,torresshawn@hotmail.com,1,0.0,4.45,0.0,Design,Advanced
U00076,justinwatkins,34,Male,amyanderson@hotmail.com,4,472.28,3.0949999999999998,118.07,Business,Beginner
U00077,shannon49,20,Male,shane75@yahoo.com,1,0.0,4.11,0.0,Marketing,Intermediate
U00078,ahouston,32,Female,ashleywalker@outlook.com,1,0.0,4.11,0.0,Marketing,Intermediate
U00079,aburke,28,Male,stoutdylan@outlook.com,1,0.0,4.94,0.0,Cybersecurity,Beginner
U00080,mortonandrew,35,Female,cindycox@yahoo.com,1,0.0,2.88,0.0,Programming,Beginner
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,1,0.0,1.52,0.0,Design,Advanced
U00082,susankidd,31,Male,jasonhicks@yahoo.com,1,0.0,4.68,0.0,Project Management,Beginner
U00083,james92,16,Male,kconrad@gmail.com,15,1661.3,2.9953333333333334,110.75333333333333,Artificial Intelligence,Intermediate
U00084,xperez,20,Male,ericafrank@yahoo.com,1,327.99,1.51,327.99,Project Management,Beginner
U00085,scottluna,22,Female,adam86@yahoo.com,13,1149.12,2.9084615384615384,88.39384615384614,Cybersecurity,Beginner
U00086,nicole62,27,Female,anewton@yahoo.com,4,53.86,2.47,13.465,Business,Advanced
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,3,0.0,4.506666666666667,0.0,Machine Learning,Intermediate
U00088,tgarcia,23,Male,debrawilson@yahoo.com,1,0.0,3.64,0.0,Artificial Intelligence,Beginner
U00089,austinspears,30,Male,browningjennifer@hotmail.com,1,0.0,4.73,0.0,Machine Learning,Intermediate
U00090,sethchavez,34,Male,teresa45@outlook.com,1,0.0,3.45,0.0,Project Management,Intermediate
U00091,joseph88,35,Male,owenspatricia@gmail.com,1,0.0,4.14,0.0,Finance,Beginner
U00092,carl44,31,Male,sabrina47@yahoo.com,4,594.81,2.7175000000000002,148.7025,Artificial Intelligence,Advanced
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,1,285.05,1.96,285.05,Business,Beginner
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,1,299.57,3.74,299.57,Data Science,Beginner
U00095,ojohnson,20,Male,chloe04@yahoo.com,1,248.1,1.2,248.1,Artificial Intelligence,Beginner
U00096,wesley99,34,Female,xdavis@hotmail.com,4,0.0,2.58,0.0,Machine Learning,Beginner
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,2,0.0,2.0949999999999998,0.0,Cybersecurity,Advanced
U00098,sarah43,31,Male,natasha16@yahoo.com,1,0.0,4.45,0.0,Design,Advanced
U00099,wharrison,29,Female,robertsshawn@yahoo.com,1,299.57,3.74,299.57,Data Science,Beginner
U00100,swallace,32,Female,douglascampbell@outlook.com,1,0.0,2.14,0.0,Digital Marketing,Beginner
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,1,89.59,2.68,89.59,Artificial Intelligence,Intermediate
U00102,vweiss,32,Male,cherylking@yahoo.com,1,299.57,3.74,299.57,Data Science,Beginner
U00103,felicia29,30,Female,ssims@hotmail.com,1,0.0,2.0,0.0,Business,Advanced
U00104,diazsara,19,Male,mosschad@yahoo.com,1,53.86,2.47,53.86,Finance,Beginner
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,1,299.57,3.74,299.57,Data Science,Beginner
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,2,57.32,3.4400000000000004,28.66,Digital Marketing,Advanced
U00107,hayley84,18,Female,wwood@hotmail.com,1,0.0,3.85,0.0,Programming,Beginner
U00108,jowen,32,Male,jasonjordan@yahoo.com,2,0.0,2.965,0.0,Design,Advanced
U00109,amyschmidt,15,Female,alicia06@yahoo.com,14,869.77,3.157857142857143,62.12642857142857,Data Science,Beginner
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,1,487.92,3.64,487.92,Business,Advanced
U00111,cynthia90,24,Male,kayla61@outlook.com,1,0.0,2.14,0.0,Digital Marketing,Beginner
U00112,williamswilliam,34,Female,qmiller@yahoo.com,14,565.8,3.165714285714286,40.41428571428571,Data Science,Advanced
U00113,becky55,19,Male,lclark@hotmail.com,1,346.71,1.23,346.71,Project Management,Advanced
U00114,lvasquez,22,Female,markwilliams@hotmail.com,1,0.0,2.38,0.0,Cybersecurity,Advanced
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,1,0.0,1.73,0.0,Machine Learning,Intermediate
U00116,schultzaustin,31,Male,psmith@outlook.com,1,0.0,1.52,0.0,Design,Advanced
U00117,kristin26,19,Female,megan10@gmail.com,13,1885.87,3.373076923076923,145.06692307692308,Cybersecurity,Beginner
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,1,0.0,2.0,0.0,Business,Advanced
U00119,phillipsrobert,28,Male,wlee@yahoo.com,1,57.32,4.74,57.32,Web Development,Advanced
U00120,faguilar,15,Male,ashley54@gmail.com,2,415.51,3.215,207.755,Artificial Intelligence,Beginner
U00121,htanner,27,Female,donaldbrennan@hotmail.com,2,328.77,2.7,164.385,Machine Learning,Advanced
U00122,derekgreer,21,Female,elizabeth42@gmail.com,2,0.0,2.895,0.0,Digital Marketing,Beginner
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,2,356.89,4.24,178.445,Data Science,Advanced
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,2,460.49,2.175,230.245,Artificial Intelligence,Advanced
U00125,michelle70,35,Female,simsbruce@yahoo.com,2,326.02,2.25,163.01,Business,Advanced
U00126,zhall,23,Female,juliecervantes@yahoo.com,14,1084.57,3.457142857142857,77.4692857142857,Digital Marketing,Beginner
U00127,brian60,34,Female,annablair@hotmail.com,3,903.4300000000001,3.846666666666667,301.1433333333334,Artificial Intelligence,Advanced
U00128,misty15,35,Female,thomasharris@yahoo.com,13,1813.65,3.106923076923077,139.51153846153846,Artificial Intelligence,Beginner
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,2,415.51,3.885,207.755,Artificial Intelligence,Intermediate
U00130,eherring,17,Male,joshua83@yahoo.com,1,248.1,1.2,248.1,Artificial Intelligence,Beginner
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,1,0.0,3.15,0.0,Business,Advanced
U00132,kathysharp,22,Male,sean85@yahoo.com,1,0.0,1.13,0.0,Machine Learning,Beginner
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,14,828.33,2.830714285714286,59.166428571428575,Marketing,Beginner
U00134,syoung,26,Female,kroy@gmail.com,14,1438.21,3.3528571428571428,102.72928571428572,Finance,Advanced
U00135,josephmichael,17,Female,clarknicholas@gmail.com,1,0.0,3.02,0.0,Data Science,Intermediate
U00136,millerleslie,25,Female,william31@gmail.com,1,0.0,3.15,0.0,Business,Advanced
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,2,460.29,3.705,230.145,Data Science,Advanced
U00138,sarafuentes,26,Male,ugonzales@gmail.com,2,0.0,1.8699999999999999,0.0,Design,Advanced
U00139,qharrell,16,Female,daniel87@yahoo.com,4,248.1,1.8275000000000001,62.025,Artificial Intelligence,Advanced
U00140,william81,24,Female,ewalker@hotmail.com,2,53.86,3.5650000000000004,26.93,Digital Marketing,Beginner
U00141,jenkinswilliam,20,Male,nicolerodriguez@gmail.com,1,0.0,2.88,0.0,Programming,Beginner
U00142,brian08,17,Female,stephenhenry@gmail.com,1,472.28,4.74,472.28,Programming,Beginner
U00143,sherri37,26,Male,lopezbrian@outlook.com,2,177.34,4.415,88.67,Cybersecurity,Advanced
U00144,rodgerspaul,24,Female,amy66@hotmail.com,13,953.67,3.173076923076923,73.35923076923076,Finance,Intermediate
U00145,shawnbrown,23,Female,amandasingh@yahoo.com,1,0.0,4.94,0.0,Cybersecurity,Beginner
U00146,ihernandez,30,Female,rgarcia@outlook.com,1,0.0,4.44,0.0,Digital Marketing,Beginner
U00147,patricklaura,30,Male,barbarapatterson@yahoo.com,12,1195.68,3.0775,99.64,Data Science,Beginner
U00148,andersenmichael,35,Female,rsmith@outlook.com,1,0.0,3.02,0.0,Data Science,Intermediate
U00149,jacksonanthony,17,Female,yspencer@gmail.com,10,906.41,3.303,90.64099999999999,Artificial Intelligence,Advanced
U00150,nsmith,25,Male,zjefferson@gmail.com,2,0.0,3.245,0.0,Cybersecurity,Advanced
U00151,johnjohnson,16,Female,heathrodney@hotmail.com,1,0.0,4.44,0.0,Digital Marketing,Beginner
U00152,hhill,19,Female,keith03@outlook.com,12,1368.9199999999998,3.296666666666667,114.07666666666665,Cybersecurity,Beginner
U00153,scottgilbert,35,Male,sextondillon@yahoo.com,2,37.89,2.575,18.945,Programming,Advanced
U00154,jessicabailey,29,Male,colleen99@outlook.com,1,248.1,1.2,248.1,Artificial Intelligence,Beginner
U00155,browningstephanie,27,Male,cindy51@gmail.com,2,0.0,3.71,0.0,Finance,Beginner
U00156,phill,17,Male,natalie68@outlook.com,1,0.0,1.59,0.0,Finance,Advanced
U00157,derek60,32,Female,dhall@hotmail.com,2,212.39,2.53,106.195,Cybersecurity,Advanced
U00158,nicholas56,35,Female,lisa06@yahoo.com,1,0.0,1.28,0.0,Programming,Beginner
U00159,rodriguezraymond,16,Male,richardsonwilliam@yahoo.com,2,53.86,2.1,26.93,Finance,Beginner
U00160,kingspencer,28,Female,gillvalerie@yahoo.com,1,327.99,1.51,327.99,Project Management,Beginner
U00161,lawrence17,25,Female,tstone@outlook.com,11,605.6,2.8972727272727274,55.054545454545455,Business,Advanced
U00162,charlesayala,26,Male,kmyers@gmail.com,1,0.0,1.59,0.0,Finance,Advanced
U00163,clinejacqueline,32,Female,johnsonshelly@hotmail.com,1,0.0,3.45,0.0,Project Management,Intermediate
U00164,james63,32,Male,jessica46@outlook.com,2,0.0,3.2700000000000005,0.0,Machine Learning,Advanced
U00165,wcarroll,30,Male,angela19@hotmail.com,4,419.82,2.995,104.955,Artificial Intelligence,Intermediate
U00166,campbellkelsey,33,Male,hinesjoshua@gmail.com,15,248.88,3.1886666666666668,16.592,Machine Learning,Intermediate
U00167,rogersjohn,31,Female,jonathan94@hotmail.com,1,0.0,4.94,0.0,Cybersecurity,Beginner
U00168,gillespiekimberly,24,Female,michael38@outlook.com,1,326.02,2.69,326.02,Business,Intermediate
U00169,vasquezjohn,24,Male,youngmaurice@yahoo.com,13,567.16,2.636923076923077,43.62769230769231,Design,Advanced
U00170,millerdavid,34,Female,mark06@hotmail.com,3,0.0,2.72,0.0,Programming,Beginner
U00171,egardner,24,Male,obrienmolly@outlook.com,2,0.0,4.0649999999999995,0.0,Project Management,Beginner
U00172,nglass,35,Female,charleshernandez@hotmail.com,1,0.0,4.73,0.0,Machine Learning,Intermediate
U00173,fernando38,31,Male,patriciagarcia@gmail.com,14,1094.82,3.1978571428571425,78.20142857142856,Artificial Intelligence,Beginner
U00174,michelle60,29,Male,sgriffith@yahoo.com,1,212.39,3.15,212.39,Digital Marketing,Advanced
U00175,xlambert,32,Female,leonardlisa@gmail.com,2,490.9,2.915,245.45,Artificial Intelligence,Beginner
U00176,gary81,34,Male,jameshartman@hotmail.com,1,0.0,4.68,0.0,Project Management,Beginner
U00177,torreschristine,29,Female,adriana95@yahoo.com,14,1526.54,3.0235714285714286,109.03857142857143,Finance,Beginner
U00178,gonzaleslisa,20,Male,robertspencer@outlook.com,14,236.72000000000003,3.54,16.90857142857143,Data Science,Beginner
U00179,mariaavila,34,Male,tpineda@outlook.com,2,487.92,2.685,243.96,Business,Advanced
U00180,xglenn,26,Female,bruce16@hotmail.com,1,0.0,4.73,0.0,Machine Learning,Intermediate
U00181,stephanie98,32,Female,angela26@yahoo.com,1,299.57,3.74,299.57,Data Science,Beginner
U00182,nancyibarra,28,Female,rmadden@gmail.com,1,0.0,4.1,0.0,Finance,Intermediate
U00183,christopherhall,33,Male,virginia17@outlook.com,1,0.0,4.73,0.0,Machine Learning,Intermediate
U00184,kroth,28,Male,nrhodes@hotmail.com,1,0.0,2.38,0.0,Cybersecurity,Advanced
U00185,jwalls,27,Male,carrillomichael@outlook.com,1,57.32,4.74,57.32,Web Development,Advanced
U00186,alexbrown,28,Female,nortonlisa@outlook.com,2,326.02,3.0700000000000003,163.01,Business,Intermediate
U00187,taylor05,18,Male,staceygiles@hotmail.com,1,472.28,4.74,472.28,Programming,Beginner
U00188,robertsedward,18,Male,wschmidt@gmail.com,1,0.0,1.52,0.0,Design,Advanced
U00189,latoya45,18,Male,normangabriela@hotmail.com,1,0.0,1.59,0.0,Finance,Advanced
